PINGS,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION,sum
22519,custom1,Boston Public Garden & Common,,,,,,,,,,,,,,,,,,,,,
18947,custom3,RFK Greenway,,,,,,,,,,,,,,,,,,,,,
14370,360,Commonwealth Avenue Outbound,City of Boston,,1,Allston-Brighton,5.52780408, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,BPWD,0,0,240795.4214,35569.11925,NA,PARK_Maintenance_Ground Maintenance,14370
13783,960,Charles River Reservation,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Multi-District,171.69, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,"Charles River Esplanade, Herter Park, Daley Field",DCR,0,0,7478778.374,165863.6426,NA,INFO_Reallocation From Dept,13783
10933,387,Strandway/Castle Island,Commonwealth of Massachusetts,A97,2,South Boston,47.69946623, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,Fort Independence; Pleasure Ba,,0,0,2077825.688,24033.19499,NA,INFO_Reallocation From Dept,10933
8332,custom2,Long Wharf & Aquarium Plaza,,,,,,,,,,,,,,,,,,,,,
8116,107,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Baseball Field at Fenway Park,,0,0,121268.3384,1376.70645,NA,INFO_Reallocation From Dept,8116
6631,694,Back Bay Fens,City of Boston,A97/NRHP/WPA,3,Fenway/Kenmore,70.1,"Bounded by Beacon St, Park Drive, The Fenway, Evans Way, Forsyth Way, Westland Ave",Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Includes Evans Way Park, Forsyth Park, Westland Avenue Gates",,0,0,3053367.002,22839.98043,NA,PARK_Maintenance_Region 3,6631
6112,979,Southwest Corridor Park,MBTA, ,2,Multi-District,47.68, ,Industrial District,"Parkways, Reservations & Beaches",NULL,DCR,X,X, , ,0,0,2076803.929,53060.37561,NA,INFO_Reallocation From Dept,6112
5328,941,Charlesgate I,Commonwealth of Massachusetts,A97,2,Back Bay/Beacon Hill,6.52,"Btwn Storrow Dr, Mass Pike, Charlesgate East & Charlesgate West",Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Charlesgate (contains Bowker Overpass),,0,0,287205.354,9307.360807,NA,INFO_Reallocation From Dept,5328
5242,72,Quincy Market Square,BRA, ,1,Central Boston,1.56, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X,Quincy Market,,0,0,67903.14136,3500.21832,NA,INFO_Reallocation From Dept,5242
5215,916,Arborway I,Commonwealth of Massachusetts,A97/GPOD,2,Jamaica Plain,12.45, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,730706.2522,43842.5572,NA,INFO_Reallocation From Dept,5215
4370,717,Commonwealth Avenue Mall I,City of Boston,A97/NRHP,1,Back Bay/Beacon Hill,10.87,Commonwealth Ave btwn Arlington St & Charlesgate East,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Commonwealth Ave Mall (east of Charlesgate),BPRD,0,0,473518.3743,13623.35667,NA,PARK_Maintenance_Region 1,4370
4031,570,North End Park,MassDOT,A97/CAT Mit/RFK,1,Central Boston,2.83, ,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcels 8&10,,0,0,123174.5791,2086.973284,NA,INFO_Reallocation From Dept,4031
3965,524,Bremen Street Park I,Massport,A97,3,East Boston,17.79, ,Special District,"Parks, Playgrounds & Athletic Fields",Massport,Massport,X,X,"Sartori Stadium, East Boston Memorial Stadium",Massport,0,0,774851.8279,8371.505716,NA,INFO_Reallocation From Dept,3965
3603,939,Franklin Park,City of Boston,A97/WPA/NRHP,3,Roxbury,392.16,143 Seaver St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X, ,BPRD,0,0,17082410.23,36183.76407,NA,PARK_Maintenance_Region 3,3603
3487,46,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.85428821,St. James Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X, ,,0,0,80774.23193,1400.216411,NA,PARK_Maintenance_Region 1,3487
3302,990,Fidelis Way Park,City of Boston,A97,3,Allston-Brighton,5.10486027,Opposite 1505 Commonwealth Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Overlook Park,BPRD,0,0,213583.429,2611.580108,NA,PARK_Maintenance_Region 4,3302
3197,695,Riverway I,City of Boston,A97/NRHP/GPOD,3,Fenway/Kenmore,17.18,440 Park Drive,Institutional District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"contains Back Bay Yard, ""Sears Lot"" aka ""Sears Rotary""",,0,0,748570.3308,8745.035203,NA,PARK_Maintenance_Region 3,3197
3139,1805,Columbia Road/Day Boulevard,Commonwealth of Massachusetts,A97,2,South Boston,16.85, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,DCR,0,0,733967.8247,47796.73284,NA,INFO_Reallocation From Dept,3139
3111,58,City Hall Plaza,BRA,A97,1,Central Boston,5.93146518, ,Open Space District,"Malls, Squares & Plazas",NULL, ,X,X,City Hall Square,,0,0,261953.2056,2862.081899,NA,PARK_Maintenance_Ground Maintenance,3111
3110,249,Ronan Park,City of Boston,A97,3,Dorchester,11.27463098,Opposite 65 Mt. Ida Road,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,489640.9001,3299.81232,NA,PARK_Maintenance_Region 2,3110
2707,506,Franklin Park Zoo,City of Boston,A97,3,Roxbury,63.82, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,Zoo New England,X,X,Zoo New England,DCR,0,0,2780051.579,7641.837412,NA,INFO_Reallocation From Dept,2707
2696,559,Dewey Square Parks,MassDOT,A97/CATMit/RFK,1,Central Boston,2.64, ,Special District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,"RFK Greenway Parcels 19,21,22",,0,0,115010.281,2887.468528,NA,INFO_Reallocation From Dept,2696
2445,321,Billings Field,City of Boston,A97,3,West Roxbury,10.77506733,369 LaGrange Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,469370.2772,2795.86271,NA,PARK_Maintenance_Region 4,2445
2402,871,Ceylon Park I,City of Boston,A97,3,Roxbury,4.17142627,Opposite 261 Magnolia Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,180796.1453,2768.742714,NA,PARK_Maintenance_Region 5,2402
2392,377,Scarmella/Maverick Square,Commonwealth of Massachusetts, ,1,East Boston,0.39870423, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,17367.86792,1019.149367,NA,INFO_Reallocation From Dept,2392
2233,551,Urban Arboretum,MassDOT,CAT Mit,1,Central Boston,1.95, ,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,MA DOT,0,0,84846.50586,3318.749453,NA,INFO_Reallocation From Dept,2233
2216,484,Faneuil Square,City of Boston,A97,1,Central Boston,0.82, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,Faneuil Hall Sq.,,0,0,35577.08569,1276.022831,NA,INFO_Reallocation From Dept,2216
2189,927,State Public Health Campus,Commonwealth of Massachusetts, ,3,Mattapan,11.81, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,DCAMM,0,0,514243.1633,6658.574267,NA,INFO_Reallocation From Dept,2189
2156,17,The Cenacles,Private,A97/CR,6,Allston-Brighton,15.33969764, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private,X,X, ,,0,0,668209.1104,4949.196631,NA,INFO_Reallocation From Dept,2156
2138,698,Jamaica Pond Park,City of Boston,A97,3,Jamaica Plain,97.74,507 Jamaica Way,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Pine Bank,,0,0,4257189.26,8048.497429,NA,PARK_Maintenance_Region 3,2138
2076,917,Forest Hills Station Mall,MBTA, ,1,Jamaica Plain,1.33,3699 Washington Street,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,58201.03369,1335.640037,NA,INFO_Reallocation From Dept,2076
2067,944,Soldiers Field,Private, ,3,Allston-Brighton,61.96925141, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,Harvard Ath. Flds.,,0,0,2682458.544,10870.59671,NA,INFO_Reallocation From Dept,2067
2039,684,Government Center Garage Plaza,Private, ,1,Central Boston,0.94,"New Sudbury, N Washington, New Chardon, Congress",Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,40835.87769,2150.355978,NA,INFO_Reallocation From Dept,2039
1884,958,Carson Beach,Commonwealth of Massachusetts,A97,2,South Boston,24.73207787, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,1073525.361,13119.94149,NA,INFO_Reallocation From Dept,1884
1878,826,Olmsted Park,City of Boston,A97/NRHP/RSP,3,Jamaica Plain,42.95562559, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Daisy Field,,0,0,1865347.229,8807.483827,NA,PARK_Maintenance_Region 3,1878
1870,255,Hemenway Playground,City of Boston,A97,3,Dorchester,4.39521048,531 Adams Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,191458.772,1754.859592,NA,PARK_Maintenance_Region 2,1870
1797,798,Aquarium Plaza,Private,Ch91/WPA,1,Central Boston,0.46,248 Atlantic Avenue,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,28646.96143,1071.813485,NA,INFO_Reallocation From Dept,1797
1770,420,Beth Israel/Deaconess Plaza,Private, ,1,Fenway/Kenmore,0.50150988, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,21846.15869,738.9506605,NA,INFO_Reallocation From Dept,1770
1731,487,American Legion Highway,City of Boston,100,2,Multi-District,6.77872585, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL,BPRD,N,X, ,PWD,0,0,295125.397,25019.24569,NA,PARK_Maintenance_Region 2,1731
1700,477,Jamaicaway,City of Boston,A97/GPOD,2,Jamaica Plain,4.7210912, ,Institutional District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,206898.8982,16953.09898,NA,INFO_Reallocation From Dept,1700
1676,875,Melnea Cass Boulevard I,Commonwealth of Massachusetts, ,2,South End,3.04353461, ,Industrial District,"Parkways, Reservations & Beaches",NULL, ,N,X,Melnea Cass Bike Path,,0,0,190837.636,7985.234899,NA,INFO_Reallocation From Dept,1676
1648,560,Dewey Square Plaza,MassDOT,CAT Mit,1,Central Boston,0.58, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,25403.55664,687.6359818,NA,INFO_Reallocation From Dept,1648
1630,898,Christopher Columbus Park,City of Boston,A97/LWCF/Ch91/W,3,Central Boston,4.74438387,110 Atlantic Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Waterfront Park,,0,0,211997.9661,2041.983412,NA,PARK_Maintenance_Region 1,1630
1619,395,West Roxbury Parkway,Commonwealth of Massachusetts, ,2,West Roxbury,31.76, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X, ,,0,0,1378840.483,36054.59926,NA,INFO_Reallocation From Dept,1619
1603,991,Harambee Park,City of Boston,A97,3,Mattapan,45.55780088,120 Westview Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Franklin Field,,0,0,1949027.015,6423.915486,NA,PARK_Maintenance_Region 2,1603
1569,715,Riverway II,Commonwealth of Massachusetts,A97/NRHP/GPOD,2,Fenway/Kenmore,2.36,"E side of Riverway parkway, Park Dr to Francis St",Institutional District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Riverway parkway,,0,0,102939.5798,9141.602069,NA,INFO_Reallocation From Dept,1569
1514,368,Christian Science Plaza,Private, ,1,Fenway/Kenmore,9.91998231, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,432122.1123,6100.239972,NA,INFO_Reallocation From Dept,1514
1504,788,The Fenway I,City of Boston,A97/NRHP,2,Fenway/Kenmore,50.28,The Fenway from Emanuel College to Boston Conservatory of Music (Brookline Ave to Boylston St),Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Fenway Parkway,,0,0,294057.6343,25658.24672,NA,INFO_Reallocation From Dept,1504
1495,661,Federal Reserve Plaza,United States of America, ,1,Central Boston,2.09,556-624 Atlantic Avenue,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X,Federal Reserve Bank Plaza,,0,0,91122.13892,2557.329247,NA,INFO_Reallocation From Dept,1495
1455,712,Park Drive I,City of Boston,A97/NRHP,2,Fenway/Kenmore,5.1,Park Drive from Brookline Ave to Boylston Street near Charlesgate,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,221943.4019,18730.46887,NA,INFO_Reallocation From Dept,1455
1415,64,Union Street Park I,BRA,A97,1,Central Boston,0.51,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,Holocaust Memorial;  Curley Memorial,BRA,0,0,22141.73022,908.9222011,NA,PARK_Maintenance_Ground Maintenance,1415
1363,554,Chinatown Park,MassDOT,A97/CATMit/RFK,1,Central Boston,0.61, ,Open Space District,"Malls, Squares & Plazas",RFK Greenway Conservancy, ,X,X,Kennedy Greenway Parcel 23b,,0,0,36674.02148,2766.241439,NA,INFO_Reallocation From Dept,1363
1329,794,BU Grounds Central,Private, ,1,Fenway/Kenmore,2.53983108, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X,Boston Univ Campus,,0,0,212502.7502,9939.625433,NA,INFO_Reallocation From Dept,1329
1326,994,VFW Parkway I,Commonwealth of Massachusetts,A97,2,West Roxbury,12.44, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,541951.1226,34214.47383,NA,INFO_Reallocation From Dept,1326
1276,567,CANA Portal,MassDOT,,1,Charlestown,1.15, ,Residential District,"Malls, Squares & Plazas",NULL, ,N, , ,MADOT,0,0,50441.13281,2979.370969,NA,INFO_Reallocation From Dept,1276
1236,634,Fairlawn Green,Private, ,1,Mattapan,1.15, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,49984.38794,2694.249649,NA,INFO_Reallocation From Dept,1236
1196,710,Boylston Street II,Commonwealth of Massachusetts,A97/WPA,2,Fenway/Kenmore,2.4,Vicinity of Bowker Overpass and The Fenway,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Back Bay Fens/Charlesgate,,0,0,77538.43066,6619.412135,NA,INFO_Reallocation From Dept,1196
1164,568,Galvin Green,Commonwealth of Massachusetts,CAT Mit,1,Charlestown,5.13, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,223494.6899,5169.567584,NA,INFO_Reallocation From Dept,1164
1141,789,Avenue Louis Pasteur,City of Boston,,2,Fenway/Kenmore,1.49,,Residential District,"Parkways, Reservations & Beaches",,BPWD,N,X,,BPWD,0,0,64724.86816,5522.513116,NA,INFO_Reallocation From Dept,1141
1129,703,London Street Park,MassDOT,License,3,East Boston,0.14,89 London Street,Residential District,"Parks, Playgrounds & Athletic Fields",Private, ,N,X,London St Play Area;  E B Central Catholic Schl Park,,0,0,6274.213379,317.0695391,NA,PARK_Maintenance_Region 1,1129
1115,697,Riverway IV,Commonwealth of Massachusetts,A97/NRHP/GPOD,2,Jamaica Plain,1.91,"E side of Riverway parkway, Francis St to Huntington Ave (Rt 9)",Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X, ,,0,0,83225.63965,7561.534732,NA,INFO_Reallocation From Dept,1115
1110,374,Massachusetts Avenue Malls,City of Boston, ,1,South End,0.43492921,Between 525 & 565 Mass. Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,18945.85083,4815.74725,NA,PARK_Maintenance_Region 1,1110
1071,381,East Boston Piers Park,Massport, ,3,East Boston,6.79, ,Open Space District,"Parks, Playgrounds & Athletic Fields",Commonwealth of Massachusetts,Massport,N,X,Piers Park,Massport,0,0,295804.5288,3637.089686,NA,INFO_Reallocation From Dept,1071
1034,777,Belvidere/Dalton Plaza,City of Boston, ,1,Back Bay/Beacon Hill,0.14717063, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X, ,PWD,0,0,7185.123047,468.7457394,NA,INFO_Reallocation From Dept,1034
1033,60,Norman B. Leventhal Park,Private,Agrmnt,3,Central Boston,1.54521864,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park,,0,0,67832.95117,1076.306888,NA,INFO_Reallocation From Dept,1033
998,952,Pope John Paul II Park I,Commonwealth of Massachusetts,A97/ACEC/WPA,2,Dorchester,70, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,0,0,3049258.854,19791.31875,NA,INFO_Reallocation From Dept,998
965,2,Nickerson Field,Private, ,3,Allston-Brighton,6.34559501, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,N,Boston University Field,,0,0,276419.0325,2104.702611,NA,INFO_Reallocation From Dept,965
946,577,Prudential Center Plaza II,Private, ,1,Back Bay/Beacon Hill,1.09, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X, ,,0,0,47584.15698,980.603951,NA,INFO_Reallocation From Dept,946
941,444,Copley Place Plaza,MassDOT, ,1,Back Bay/Beacon Hill,0.28932601, ,Special District,"Malls, Squares & Plazas",NULL,Private,N,X, ,,0,0,12603.26636,483.4740489,NA,INFO_Reallocation From Dept,941
936,824,Roberts Playground,City of Boston,A97,3,Dorchester,10.18916048,56 Dunbar Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, ,,0,0,443387.3298,3001.45958,NA,PARK_Maintenance_Region 2,936
931,380,Decatur & Meridian Streets Park,MassDOT, ,3,East Boston,0.2, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N,X, ,,0,0,8877.374756,616.3526131,NA,PARK_Maintenance_Ground Maintenance,931
910,713,Park Drive II,Commonwealth of Massachusetts,A97/NRHP,2,Fenway/Kenmore,1.38,Park Drive at Boylston Street & Brookline Ave Intersection,Residential District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Jug Handle,,0,0,60224.76636,5451.927971,NA,INFO_Reallocation From Dept,910
